Unit,Tcode,Rec'd,Scanned,Sent to CU,Status,Household Member,Mailing Zip,Move In,Move Out,Member Age - as of date,Effective Date,Admission Date,Total Annual Income,Special Program Setting,Member Citizen,Member Sex,Tenant Rent,TTP,Member Ethnicity,Bedrooms,Family Members,Eligible  Members,Dependants,HH Members under age 13,Student Houshold Members,Non-Students Age 18+,Single Parent HH
1,t0000866,6/6/2014,6/9/2014,6/10/2014,Current,H,80301,00-11-06,99-12-30,33,11/1/2014,11/6/2000,20346,mtwfam,IN,F,449,548,1,2,4,2,2,1,0,2,NO
1,t0002280,6/26/2014,7/18/2014,7/21/2014,Past,H,80301,10-08-09,14-10-09,39,10/9/2014,12/30/1899,0,mtwfam,IN,F,453,0,1,2,4,3,0,3,0,1,Unknown
1,t0000863,6/4/2014,6/9/2014,6/10/2014,Current,H,80301,05-11-01,99-12-30,39,11/1/2014,11/1/2005,26441,mtwfam,EC,F,550,649,1,2,2,2,1,0,0,1,Yes
1,t0000850,5/30/2014,6/9/2014,6/10/2014,Current,H,80301,05-06-06,99-12-30,35,6/1/2014,6/6/2005,9100,mtwfam,IN,F,344,443,2,2,5,2,3,2,0,2,Unknown
1,t0006541,6/25/2014,8/13/2014,8/13/2014,Current,H,80301,13-01-03,99-12-30,40,1/1/2015,1/3/2013,14879,mtwfam,EC,F,261,360,2,2,2,2,1,1,0,1,Yes
1,t0000864,6/25/2014,7/18/2014,7/21/2014,Notice,H,80301,07-11-16,15-02-01,33,11/1/2014,11/16/2007,55779,mtwfam,IN,M,1271,1370,1,2,4,2,2,1,0,2,Unknown
1,t0000857,,,,Current,H,80301,08-07-10,99-12-30,63,7/1/2014,7/10/2008,16587,mtwfam,IN,F,402,501,1,2,4,2,2,2,0,2,Unknown
1,t0000844,,,,Current,H,80301,04-03-30,99-12-30,34,3/1/2014,3/30/2004,23451,mtwfam,IN,F,349,448,1,2,4,3,3,1,0,1,Yes
1,t0000861,5/22/2014,6/9/2014,6/10/2014,Current,H,80301,08-09-05,99-12-30,33,9/1/2014,9/5/2008,16000,mtwfam,IN,F,339,438,1,2,6,4,4,4,0,2,Unknown
1,t0004383,6/25/2014,7/18/2014,7/21/2014,Current,H,80301,13-07-26,99-12-30,20,7/1/2014,7/26/2013,0,mtwfam,EC,F,0,50,1,2,2,2,1,1,0,1,Yes
1,t0006177,,,,Current,H,80301,12-03-26,99-12-30,36,3/1/2014,3/26/2012,14300,mtwfam,IN,F,301,431,1,3,4,3,3,0,0,1,Yes
1,t0000872,,,,Current,H,80301,99-02-01,99-12-30,43,2/1/2014,2/1/1999,31491,mtwfam,EN,F,645,775,1,3,3,3,1,0,0,2,Unknown
1,t0000871,6/30/2014,7/18/2014,7/21/2014,Current,H,80301,06-02-25,99-12-30,33,2/1/2014,2/25/2006,2100,mtwfam,IN,F,63,162,2,2,5,4,4,3,0,1,Yes
1,t0000868,6/20/2014,7/18/2014,7/21/2014,Current,H,80301,08-11-01,99-12-30,42,10/1/2014,12/27/2006,16380,mtwfam,IN,M,441,540,1,2,3,1,1,0,0,2,NO
1,t0000859,5/23/2014,6/9/2014,6/10/2014,Current,H,80301,07-09-05,99-12-30,34,9/1/2014,9/5/2007,18413,mtwfam,IN,F,436,535,1,2,5,3,3,3,0,2,Unknown
1,t0000858,6/4/2014,6/9/2014,6/10/2014,Current,H,80301,05-08-26,99-12-30,35,9/1/2014,8/26/2005,15600,mtwfam,IN,F,414,513,1,2,5,2,2,1,0,3,NO
1,t0005295,7/1/2014,7/18/2014,7/21/2014,Current,H,80301,11-06-03,99-12-30,30,6/1/2014,4/1/2014,20488,mtwfam,IN,F,478,577,1,2,4,1,3,1,0,1,Yes
2,t0000883,6/30/2014,7/18/2014,7/21/2014,Current,H,80304,08-11-01,99-12-30,45,5/1/2014,7/11/2001,31657,mtwfam,IN,M,541,759,1,3,5,3,3,1,0,2,NO
2,t0000886,,,,Current,H,80304,98-01-01,99-12-30,42,1/1/2015,1/1/1998,43381,mtwfam,EC,F,875,1061,1,3,4,4,2,1,0,2,Unknown
2,t0000887,6/2/2014,6/9/2014,6/10/2014,Current,H,80304,89-02-06,99-12-30,47,2/1/2014,2/6/1989,23326,mtwfam,EC,F,199,469,1,4,5,5,3,1,1,3,NO
2,t0000875,,,,Current,H,80304,02-04-04,99-12-30,51,7/1/2014,4/4/2002,32182,mtwfam,EC,F,511,781,2,4,4,4,2,0,1,2,NO
2,t0000880,7/30/2014,8/13/2014,8/13/2014,Current,H,80304,00-06-30,99-12-30,40,9/1/2014,6/30/2000,36320,mtwfam,IN,M,712,860,1,3,6,3,4,2,2,2,NO
2,t0000884,5/21/2014,6/9/2014,6/10/2014,Current,H,80304,08-11-24,99-12-30,38,11/1/2014,11/24/2008,29447,mtwfam,IN,F,579,762,1,4,5,3,3,2,0,2,Unknown
2,t0000885,6/24/2014,7/18/2014,7/21/2014,Current,H,80304,08-12-01,99-12-30,45,4/1/2014,4/28/2003,20800,mtwfam,IN,M,508,691,1,4,7,3,4,1,0,3,NO
2,t0000853,5/27/2014,6/9/2014,6/10/2014,Past,H,80304,02-07-03,13-06-27,41,7/1/2013,7/3/2002,0,mtwfam,IN,M,231,0,1,2,4,2,0,0,0,2,Unknown
2,t0000878,,,,Current,H,80304,98-08-01,99-12-30,39,1/1/2015,8/1/1998,23000,mtwfam,IN,F,348,618,1,4,4,3,3,0,0,1,Yes
2,t0000874,6/5/2014,6/9/2014,6/10/2014,Current,H,80304,99-03-01,99-12-30,41,12/1/2014,3/1/1999,21120,mtwfam,IN,F,374,560,1,3,4,3,3,1,0,2,Yes
2,t0000876,6/2/2014,6/9/2014,6/10/2014,Current,H,80304,00-05-10,99-12-30,52,5/1/2014,5/10/2000,37997,mtwfam,EN,F,605,914,2,4,5,5,3,0,2,3,Unknown
2,t0000879,6/24/2014,7/18/2014,7/21/2014,Current,H,80304,01-08-03,99-12-30,45,8/1/2014,8/3/2001,31365,mtwfam,IN,F,601,784,1,4,6,4,3,0,0,3,NO
3,t0000918,,,,Current,H,80304,02-12-31,99-12-30,47,12/1/2014,12/31/2002,20930,mtwfam,IN,F,561,561,1,2,2,1,1,0,0,1,Yes
3,t0005325,,,,Current,H,80304,13-04-26,99-12-30,21,11/1/2014,4/26/2013,7800,mtwfam,IN,F,318,318,1,2,3,2,2,2,0,1,Yes
3,t0004846,6/4/2014,6/9/2014,6/10/2014,Current,H,80304,13-07-26,99-12-30,25,8/1/2014,7/26/2013,12906,mtwfam,IN,M,455,455,1,2,4,2,2,2,0,2,Unknown
3,t0000915,7/1/2014,7/18/2014,7/21/2014,Current,H,80304,08-11-01,99-12-30,48,10/1/2014,8/1/2012,11232,mtwfam,IN,F,336,336,1,2,4,3,3,1,0,1,Yes
3,t0000906,,,,Current,H,80304,15-01-13,99-12-30,22,1/13/2015,4/27/2004,16193,mtwfam,EC,M,393,393,1,2,2,2,1,0,1,1,Yes
3,t0000891,,,,Current,H,80304,98-04-29,99-12-30,48,4/1/2014,4/29/1998,18720,mtwfam,IN,M,565,565,1,3,5,3,3,1,1,3,Unknown
3,t0000923,,,,Current,H,80304,08-12-01,99-12-30,51,3/1/2014,3/1/1996,28870,mtwfam,EC,F,686,686,1,3,5,5,3,1,0,2,NO
3,t0000917,6/3/2014,6/9/2014,6/10/2014,Current,H,80304,10-04-29,99-12-30,30,12/1/2014,4/29/2010,16380,mtwfam,IN,F,530,530,1,3,5,3,3,3,0,2,Unknown
3,t0000939,,,,Current,H,80304,00-03-29,99-12-30,39,3/1/2014,3/29/2000,0,mtwfam,EC,F,50,50,2,3,5,5,4,1,1,2,Yes
3,t0000958,,,,Current,H,80304,14-05-09,99-12-30,35,10/1/2014,10/18/2004,22620,mtwfam,IN,F,522,670,1,3,5,2,3,1,0,2,Unknown
3,t0000903,7/30/2014,8/13/2014,8/13/2014,Current,H,80304,08-08-01,99-12-30,42,3/1/2014,3/8/2000,23400,mtwfam,IN,M,613,613,1,3,6,4,4,2,1,2,NO
3,t0000893,7/28/2014,8/13/2014,8/13/2014,Current,H,80304,07-04-27,99-12-30,48,4/1/2014,4/27/2007,44237,mtwfam,IN,M,0,1070,1,3,6,3,3,2,0,3,NO
3,t0003017,6/24/2014,7/18/2014,7/21/2014,Current,H,80304,10-08-13,99-12-30,39,4/1/2014,8/16/2010,26730,mtwfam,IN,F,692,692,1,3,5,3,2,1,0,3,Unknown
3,a0000151,5/28/2014,6/9/2014,6/10/2014,Current,H,80304,09-09-01,99-12-30,47,9/1/2014,9/1/2009,5760,mtwfam,IN,F,335,335,1,3,3,2,2,1,0,1,Yes
3,t0000897,,,,Past,H,80501,98-06-01,14-08-11,50,8/11/2014,12/30/1899,0,mtwfam,EC,F,0,376,1,2,2,2,0,0,0,2,Unknown
3,t0000920,7/10/2014,7/11/2014,7/21/2014,Current,H,80304,04-12-03,99-12-30,44,12/1/2014,12/3/2004,18200,mtwfam,IN,M,496,496,1,2,5,3,3,3,0,2,NO
3,t0002542,5/27/2014,6/9/2014,6/10/2014,Current,H,80304,10-10-15,99-12-30,49,10/1/2014,10/15/2010,13702,mtwfam,IN,F,514,514,1,2,3,1,2,0,0,2,Yes
3,t0000900,6/25/2014,7/18/2014,7/21/2014,Current,H,80304,99-07-01,99-12-30,37,7/1/2014,7/1/1999,22062,mtwfam,IN,M,569,569,2,2,4,2,2,0,0,2,Unknown
3,t0000888,8/4/2014,8/13/2014,8/13/2014,Current,H,80304,09-06-17,99-12-30,36,3/1/2014,3/3/2004,18031,mtwfam,IN,M,555,555,1,3,5,3,3,2,0,2,NO
3,t0000898,,,,Current,H,80304,05-06-03,99-12-30,37,6/1/2014,5/1/2012,19089,mtwfam,IN,M,509,509,1,2,5,3,3,2,0,2,NO
3,t0000905,,,,Current,H,80304,08-08-01,99-12-30,35,6/1/2014,6/27/2008,19306,mtwfam,IN,M,513,513,1,2,5,3,3,2,0,2,Unknown
3,t0000921,8/4/2014,8/13/2014,8/13/2014,Current,H,80304,08-12-01,99-12-30,32,8/1/2014,8/12/2008,17616,mtwfam,IN,F,487,487,1,2,5,3,3,3,0,2,Unknown
3,t0003764,7/7/2014,7/11/2014,7/21/2014,Current,H,80304,11-03-15,99-12-30,23,3/1/2014,3/15/2011,0,mtwfam,EC,F,50,50,2,2,2,2,1,1,0,1,Yes
3,a0000315,,,,Past,H,80304,09-05-12,14-06-03,33,6/3/2014,12/30/1899,0,mtwfam,IN,M,1398,0,1,2,4,2,0,1,0,2,Unknown
3,t0000933,,,,Current,H,80304,09-01-01,99-12-30,36,12/1/2014,8/1/2013,18118,mtwfam,IN,M,520,520,1,2,4,2,2,2,0,2,NO
3,t0004214,5/27/2014,6/9/2014,6/10/2014,Current,H,80304,12-06-15,99-12-30,26,6/1/2014,6/15/2012,15990,mtwfam,IN,F,381,381,1,2,4,3,3,3,0,1,Yes
3,t0008845,,,,Past,H,80304,06-10-02,13-12-30,35,10/1/2013,10/2/2006,10764,mtwfam,EC,F,245,245,1,2,3,3,2,2,0,1,Yes
3,t0002046,7/3/2014,7/18/2014,7/21/2014,Current,H,80304,09-11-27,99-12-30,26,11/1/2014,11/27/2009,15600,mtwfam,IN,M,457,457,1,2,5,3,3,3,0,2,NO
3,t0000911,,,,Current,H,80304,08-09-01,99-12-30,35,7/1/2014,7/3/2006,40622,mtwfam,IN,M,968,968,1,2,6,4,4,4,0,2,NO
3,t0008459,6/5/2014,6/9/2014,6/10/2014,Current,H,80304,13-06-01,99-12-30,28,10/1/2014,6/1/2013,14040,mtwfam,IN,F,422,422,1,2,3,2,2,2,0,1,Yes
3,t0006265,6/4/2014,6/9/2014,6/10/2014,Current,H,80304,13-05-07,99-12-30,29,5/1/2014,5/7/2013,25581,mtwfam,IN,M,607,607,1,2,5,3,3,3,0,2,Unknown
3,t0000907,8/4/2014,8/13/2014,8/13/2014,Current,H,80304,01-09-06,99-12-30,43,12/1/2014,9/6/2001,0,mtwfam,IN,F,274,274,1,2,5,3,3,2,0,2,Unknown
3,t0000929,,,,Current,H,80304,08-12-01,99-12-30,39,11/1/2014,3/10/2003,28456,mtwfam,IN,M,663,663,1,2,6,3,4,3,0,2,Unknown
3,t0006159,6/5/2014,6/9/2014,6/10/2014,Current,H,80304,12-06-08,99-12-30,34,6/1/2014,6/8/2012,10848,mtwfam,EC,F,247,247,2,2,3,3,2,1,0,1,Yes
3,t0004197,,,,Current,H,80304,11-10-03,99-12-30,33,10/1/2014,10/3/2011,37283,mtwfam,IN,M,908,908,1,2,4,2,2,2,0,2,Unknown
3,t0002846,6/20/2014,7/18/2014,7/21/2014,Current,H,80304,10-10-04,99-12-30,42,10/1/2014,10/4/2010,27712,mtwfam,IN,F,557,557,1,2,4,2,2,2,0,2,Unknown
3,t0002246,,,,Current,H,80304,10-05-21,99-12-30,53,1/1/2015,5/21/2010,40560,mtwfam,IN,M,1014,1014,1,2,4,1,0,0,0,4,Unknown
3,t0000909,,,,Current,H,80304,04-09-30,99-12-30,39,9/1/2014,9/30/2004,14452,mtwfam,IN,M,439,439,2,2,5,3,3,3,0,2,Unknown
3,t0000935,,,,Current,H,80304,09-01-01,99-12-30,39,6/1/2014,6/22/2006,18040,mtwfam,IN,M,519,519,1,2,4,2,2,1,0,2,Unknown
3,t0004070,7/21/2014,8/13/2014,8/13/2014,Current,H,80304,11-08-10,99-12-30,21,8/1/2014,8/10/2011,15925,mtwfam,IN,F,536,536,1,2,3,1,1,1,0,2,Unknown
3,a0000157,,,,Current,H,80304,09-07-02,99-12-30,30,1/1/2015,7/2/2009,20682,mtwfam,IN,M,559,559,1,2,5,2,3,3,0,2,Unknown
3,t0000931,,,,Current,H,80304,06-01-27,99-12-30,51,1/1/2015,1/27/2006,4680,mtwfam,EC,F,105,105,2,3,3,3,1,0,0,2,Unknown
3,a0000136,,,,Current,H,80304,09-09-18,99-12-30,45,1/1/2015,9/18/2009,23088,mtwfam,IN,F,631,631,1,3,3,2,1,0,0,2,Unknown
3,t0000914,6/10/2014,7/18/2014,7/21/2014,Current,H,80304,08-11-01,99-12-30,40,10/1/2014,10/26/2007,14300,mtwfam,IN,F,592,592,1,3,5,2,2,2,0,3,Unknown
3,t0000913,,,,Current,H,80302,07-11-29,99-12-30,39,1/1/2015,11/29/2007,26160,mtwfam,IN,M,659,659,1,3,6,4,4,3,0,2,NO
4,t0000951,6/30/2014,7/18/2014,7/21/2014,Current,H,80303,08-07-01,99-12-30,35,6/1/2014,6/18/2001,28080,mtwfam,EC,F,678,678,1,2,4,4,2,0,0,2,NO
4,t0000966,6/30/2014,7/18/2014,7/21/2014,Current,H,80303,06-01-26,99-12-30,38,1/1/2015,1/26/2006,16071,mtwfam,IN,F,427,427,1,2,4,3,3,2,0,1,Yes
